datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,ME,ME,1656.621,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,ATSI,OE,6736.582,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,OVEC,OVEC,37,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,ATSI,PAPWR,521.279,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PE,PE,4078.945,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PEP,PEPCO,2567.539,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PL,PLCO,4340.778,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PN,PN,1714.229,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PS,PS,4254.807,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,RECO,RECO,126.138,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PEP,SMECO,457.277,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PL,UGI,108.756,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,AE,VMEU,71.877,TRUE
12/1/2025 9:00,12/1/2025 4:00,RTO,RTO,RTO,RTO,91678.199,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,AE,AECO,942.727,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPAPT,5138.138,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPIMP,3519.187,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPKPT,819.208,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPOPT,8367.069,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AP,AP,6035.961,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,BC,BC,3674.958,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,CE,CE,10170.766,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,DAY,DAY,2149.718,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,DEOK,DEOK,3065.7,FALSE
12/1/2025 10:00,12/1/2025 5:00,SERC,SOUTH,DOM,DOM,16247.788,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,DPL,DPLCO,2227.739,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,DUQ,DUQ,1360.843,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,DPL,EASTON,32.039,TRUE
12/1/2025 10:00,12/1/2025 5:00,SERC,WEST,EKPC,EKPC,2378.037,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,JC,JC,2251.801,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,ME,ME,1767.053,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,ATSI,OE,7058.003,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,OVEC,OVEC,42,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,ATSI,PAPWR,546.586,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PE,PE,4334.4,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PEP,PEPCO,2858.835,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PL,PLCO,4574.706,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PN,PN,1803.464,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PS,PS,4492.005,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,RECO,RECO,133.363,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PEP,SMECO,500.587,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,PL,UGI,114.98,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,AE,VMEU,77.929,TRUE
12/1/2025 10:00,12/1/2025 5:00,RTO,RTO,RTO,RTO,96685.59,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,AE,AECO,1039.41,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,AEP,AEPAPT,5519.908,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,AEP,AEPIMP,3768.999,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,AEP,AEPKPT,877.321,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,AEP,AEPOPT,8797.605,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,AP,AP,6395.714,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,BC,BC,4038.221,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,CE,CE,10714.593,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,DAY,DAY,2316.721,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,DEOK,DEOK,3299.619,FALSE
12/1/2025 11:00,12/1/2025 6:00,SERC,SOUTH,DOM,DOM,17510.476,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,DPL,DPLCO,2490.006,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,DUQ,DUQ,1421.243,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,DPL,EASTON,36.087,TRUE
12/1/2025 11:00,12/1/2025 6:00,SERC,WEST,EKPC,EKPC,2488.897,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,JC,JC,2489.257,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,ME,ME,1918.223,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,ATSI,OE,7572.513,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,OVEC,OVEC,45,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,WEST,ATSI,PAPWR,588.334,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PE,PE,4641.33,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PEP,PEPCO,3213.319,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PL,PLCO,4999.993,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PN,PN,1943.331,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PS,PS,4915.902,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,RECO,RECO,148.24,FALSE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PEP,SMECO,548.907,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,PL,UGI,125.754,TRUE
12/1/2025 11:00,12/1/2025 6:00,RFC,MIDATL,AE,VMEU,86.597,TRUE
12/1/2025 11:00,12/1/2025 6:00,RTO,RTO,RTO,RTO,103951.52,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,AE,AECO,1065.751,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,AEP,AEPAPT,5760.426,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,AEP,AEPIMP,3949.707,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,AEP,AEPKPT,902.617,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,AEP,AEPOPT,9089.823,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,AP,AP,6596.603,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,BC,BC,4150.344,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,CE,CE,11495.476,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,DAY,DAY,2431.494,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,DEOK,DEOK,3408.447,FALSE
12/1/2025 12:00,12/1/2025 7:00,SERC,SOUTH,DOM,DOM,18127.005,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,DPL,DPLCO,2554.002,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,DUQ,DUQ,1464.802,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,DPL,EASTON,37.77,TRUE
12/1/2025 12:00,12/1/2025 7:00,SERC,WEST,EKPC,EKPC,2587.506,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,JC,JC,2605.564,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,ME,ME,1983.353,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,ATSI,OE,7897.572,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,OVEC,OVEC,40,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,WEST,ATSI,PAPWR,621.92,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PE,PE,4847.666,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PEP,PEPCO,3337.435,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PL,PLCO,5268.82,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PN,PN,2044.81,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PS,PS,5130.008,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,RECO,RECO,158.171,FALSE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PEP,SMECO,564.199,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,PL,UGI,135.138,TRUE
12/1/2025 12:00,12/1/2025 7:00,RFC,MIDATL,AE,VMEU,89.263,TRUE
12/1/2025 12:00,12/1/2025 7:00,RTO,RTO,RTO,RTO,108345.692,FALSE
12/1/2025 13:00,12/1/2025 8:00,RFC,MIDATL,AE,AECO,981.529,FALSE
